GENESIS-Tabelle: 12621-0002
Durchschnittliche Lebenserwartung (Periodensterbetafel):;;;;;
Deutschland, Jahre, Geschlecht, Vollendetes Alter;;;;;
Sterbetafeln;;;;;
Deutschland;;;;;
Durchschnittliche Lebenserwartung [e(x)] (Jahre);;;;;
;;2016/18;2017/19;2018/20;2019/21
männlich;0 Jahre;78,48;78,63;78,64;78,54
männlich;1 Jahr;77,76;77,90;77,90;77,80
männlich;2 Jahre;76,78;76,92;76,92;76,81
männlich;3 Jahre;75,79;75,93;75,93;75,82
männlich;4 Jahre;74,80;74,94;74,94;74,83
männlich;5 Jahre;73,81;73,95;73,95;73,84
männlich;6 Jahre;72,82;72,96;72,95;72,85
männlich;7 Jahre;71,82;71,96;71,96;71,85
männlich;8 Jahre;70,83;70,97;70,97;70,86
männlich;9 Jahre;69,84;69,97;69,97;69,86
männlich;10 Jahre;68,84;68,98;68,98;68,87
männlich;11 Jahre;67,85;67,99;67,98;67,87
männlich;12 Jahre;66,85;66,99;66,99;66,88
männlich;13 Jahre;65,86;66,00;65,99;65,88
männlich;14 Jahre;64,86;65,00;65,00;64,89
männlich;15 Jahre;63,87;64,01;64,01;63,90
männlich;16 Jahre;62,88;63,02;63,02;62,91
männlich;17 Jahre;61,90;62,03;62,03;61,92
männlich;18 Jahre;60,91;61,05;61,05;60,94
männlich;19 Jahre;59,94;60,07;60,07;59,96
männlich;20 Jahre;58,96;59,10;59,10;58,99
männlich;21 Jahre;57,99;58,12;58,12;58,01
männlich;22 Jahre;57,01;57,15;57,14;57,03
männlich;23 Jahre;56,03;56,17;56,17;56,06
männlich;24 Jahre;55,06;55,19;55,19;55,08
männlich;25 Jahre;54,08;54,22;54,22;54,10
männlich;26 Jahre;53,11;53,24;53,24;53,13
männlich;27 Jahre;52,13;52,26;52,26;52,15
männlich;28 Jahre;51,15;51,29;51,29;51,17
männlich;29 Jahre;50,18;50,31;50,31;50,20
männlich;30 Jahre;49,21;49,34;49,33;49,22
männlich;31 Jahre;48,23;48,36;48,36;48,25
männlich;32 Jahre;47,26;47,39;47,39;47,28
männlich;33 Jahre;46,29;46,42;46,42;46,30
männlich;34 Jahre;45,33;45,46;45,45;45,33
männlich;35 Jahre;44,36;44,49;44,48;44,37
männlich;36 Jahre;43,39;43,52;43,51;43,40
männlich;37 Jahre;42,43;42,56;42,55;42,44
männlich;38 Jahre;41,47;41,60;41,59;41,48
männlich;39 Jahre;40,52;40,64;40,64;40,53
männlich;40 Jahre;39,56;39,69;39,68;39,57
männlich;41 Jahre;38,61;38,73;38,73;38,62
männlich;42 Jahre;37,66;37,79;37,79;37,68
männlich;43 Jahre;36,71;36,84;36,84;36,73
männlich;44 Jahre;35,77;35,90;35,90;35,79
männlich;45 Jahre;34,83;34,96;34,96;34,85
männlich;46 Jahre;33,90;34,02;34,02;33,92
männlich;47 Jahre;32,97;33,09;33,09;32,99
männlich;48 Jahre;32,05;32,17;32,17;32,07
männlich;49 Jahre;31,13;31,25;31,25;31,15
männlich;50 Jahre;30,23;30,34;30,34;30,25
männlich;51 Jahre;29,33;29,44;29,44;29,35
männlich;52 Jahre;28,43;28,54;28,54;28,45
männlich;53 Jahre;27,55;27,66;27,66;27,56
männlich;54 Jahre;26,68;26,78;26,78;26,69
männlich;55 Jahre;25,82;25,92;25,91;25,82
männlich;56 Jahre;24,97;25,06;25,06;24,96
männlich;57 Jahre;24,13;24,22;24,21;24,12
männlich;58 Jahre;23,30;23,39;23,38;23,28
männlich;59 Jahre;22,49;22,57;22,56;22,46
